First Name,Last Name,Address,Email,Phone,Roof Type,Monthly Energy Bill,notes
Alice,Jhonson,123 Elm St,alice@gmail.com,1234567890,Asphalt Shingle,2500,
Mark,Thompson,213 east district ,mark@gmail.com,1987654321,Metal Roof,1200,
John,Alia,124 Elm St,john@gmail.com,1234567891,Asphalt Shingle,100,
Tristan,Candice,214 east district,tristan@gmail.com,1987654322,Metal Roof,1400,
berry,seal,125 Elm St,berry@gmail.com,1234567892,Asphalt Shingle,2700,
steve,jobs,215 east district,steve@gmail.com,1997654321,Metal Roof,4000,
Bill,Gates,126 Elm St,bill@gmail.com,1234567893,Asphalt Shingle,5300,
Anthony,mcbride,216 east district,anthony@gmail.com,1987654345,Metal Roof,6600,
Basil,Philip,127 Elm St,basil@gmail.com,1234567894,Asphalt Shingle,7900,
ron,tiger,217 east district,ron@gmail.com,1987654349,Metal Roof,9200,
tiffany,sarah,128 Elm St,tiffany@gmail.com,1234567895,Asphalt Shingle,10500,
